method,episode_id,family,case_type,error_bucket,retrieval_score,guard_score,action_score,intent_family_score,bonus,base_score,specificity,final_score,fire_threshold,predicted_state,predicted_contract_id,success,failure_type
PACTFull_current,controlled_research_ideation_001_direct_trigger,research_ideation,direct_trigger,true_fire,0.16116459280507606,0.0890870806374748,0.1336306209562122,1.0,0.22,0.23020708029911902,0.16116459280507606,0.5290424874940429,0.14,fire,research_prior_work,True,success
PACTFull_current,controlled_research_ideation_002_direct_trigger,research_ideation,direct_trigger,true_fire,0.18181818181818182,0.0,0.07537783614444091,0.0,0.22,0.20066264085429206,0.18181818181818182,0.42066264085429206,0.14,fire,research_prior_work,True,success
PACTFull_current,controlled_research_ideation_003_direct_trigger,research_ideation,direct_trigger,true_fire,0.17407765595569785,0.09622504486493763,0.14433756729740646,1.0,0.22,0.24865206572602452,0.17407765595569785,0.5345744097703267,0.14,fire,research_prior_work,True,success
PACTFull_current,controlled_research_ideation_004_direct_trigger,research_ideation,direct_trigger,true_fire,0.26111648393354675,0.09622504486493763,0.07216878364870323,0.0,0.22,0.31764869779169763,0.26111648393354675,0.5376486977916977,0.14,fire,research_prior_work,True,success
PACTFull_current,controlled_research_ideation_005_indirect_trigger,research_ideation,indirect_trigger,true_fire,0.16724840200141816,0.0,0.1386750490563073,1.0,0.22,0.201917164265495,0.16724840200141816,0.49466876226407686,0.14,fire,research_prior_work,True,success
PACTFull_current,controlled_research_ideation_006_indirect_trigger,research_ideation,indirect_trigger,true_fire,0.08084520834544433,0.08084520834544433,0.06063390625908324,0.0,0.22,0.12834176824839288,0.08084520834544433,0.3874965599029485,0.14,fire,research_prior_work,True,success
PACTFull_current,controlled_research_ideation_007_indirect_trigger,research_ideation,indirect_trigger,true_fire,0.08362420100070908,0.0,0.06933752452815364,1.0,0.22,0.1009585821327475,0.08362420100070908,0.3573343811320384,0.14,fire,research_prior_work,True,success
PACTFull_current,controlled_research_ideation_008_indirect_trigger,research_ideation,indirect_trigger,true_fire,0.0890870806374748,0.0890870806374748,0.0668153104781061,0.0,0.22,0.14142574051199122,0.0890870806374748,0.39233865987451644,0.14,fire,research_prior_work,True,success
PACTFull_current,controlled_research_ideation_009_indirect_trigger,research_ideation,indirect_trigger,true_fire,0.3113995776646092,0.0,0.2581988897471611,0.0,0.22,0.3759493001013995,0.3113995776646092,0.5959493001013995,0.14,fire,research_prior_work,True,success
PACTFull_current,controlled_research_ideation_010_indirect_trigger,research_ideation,indirect_trigger,true_fire,0.16724840200141816,0.09245003270420485,0.1386750490563073,0.0,0.22,0.23889717734717691,0.16724840200141816,0.5316487753457587,0.14,fire,research_prior_work,True,success
