episode_id,order_shuffle_changed
controlled_research_ideation_001_direct_trigger,False
controlled_research_ideation_002_direct_trigger,False
controlled_research_ideation_003_direct_trigger,False
controlled_research_ideation_004_direct_trigger,False
controlled_research_ideation_005_indirect_trigger,False
controlled_research_ideation_006_indirect_trigger,False
controlled_research_ideation_007_indirect_trigger,False
controlled_research_ideation_008_indirect_trigger,False
controlled_research_ideation_009_indirect_trigger,False
controlled_research_ideation_010_indirect_trigger,False
controlled_research_ideation_011_near_miss,False
controlled_research_ideation_012_near_miss,False
controlled_research_ideation_013_near_miss,False
controlled_research_ideation_014_near_miss,False
controlled_research_ideation_015_near_miss,False
controlled_research_ideation_016_near_miss,False
controlled_research_ideation_017_wrong_scope,False
controlled_research_ideation_018_wrong_scope,False
controlled_research_ideation_019_wrong_scope,False
controlled_research_ideation_020_wrong_scope,False
controlled_research_ideation_021_already_satisfied,False
controlled_research_ideation_022_already_satisfied,False
controlled_research_ideation_023_already_satisfied,False
controlled_research_ideation_024_conflict,False
controlled_research_ideation_025_conflict,False
controlled_research_ideation_026_conflict,False
controlled_research_ideation_027_contract_swap,False
controlled_research_ideation_028_contract_swap,False
controlled_research_ideation_029_contract_swap,False
controlled_research_ideation_030_contract_swap,False
controlled_food_safety_001_direct_trigger,False
controlled_food_safety_002_direct_trigger,False
controlled_food_safety_003_direct_trigger,False
controlled_food_safety_004_direct_trigger,False
controlled_food_safety_005_indirect_trigger,False
controlled_food_safety_006_indirect_trigger,False
controlled_food_safety_007_indirect_trigger,False
controlled_food_safety_008_indirect_trigger,False
controlled_food_safety_009_indirect_trigger,False
controlled_food_safety_010_indirect_trigger,False
controlled_food_safety_011_near_miss,False
controlled_food_safety_012_near_miss,False
controlled_food_safety_013_near_miss,False
controlled_food_safety_014_near_miss,False
controlled_food_safety_015_near_miss,False
controlled_food_safety_016_near_miss,False
controlled_food_safety_017_wrong_scope,False
controlled_food_safety_018_wrong_scope,False
controlled_food_safety_019_wrong_scope,False
controlled_food_safety_020_wrong_scope,False
controlled_food_safety_021_already_satisfied,False
controlled_food_safety_022_already_satisfied,False
controlled_food_safety_023_already_satisfied,False
controlled_food_safety_024_conflict,False
controlled_food_safety_025_conflict,False
controlled_food_safety_026_conflict,False
controlled_food_safety_027_contract_swap,False
controlled_food_safety_028_contract_swap,False
controlled_food_safety_029_contract_swap,False
controlled_food_safety_030_contract_swap,False
controlled_code_security_001_direct_trigger,False
controlled_code_security_002_direct_trigger,False
controlled_code_security_003_direct_trigger,False
controlled_code_security_004_direct_trigger,False
controlled_code_security_005_indirect_trigger,False
controlled_code_security_006_indirect_trigger,False
controlled_code_security_007_indirect_trigger,False
controlled_code_security_008_indirect_trigger,False
controlled_code_security_009_indirect_trigger,False
